name,description,category,price_range
Wireless Noise-Cancelling Headphones,Premium over-ear headphones with active noise cancellation for deep focus and immersive listening — perfect for someone who values quality sound and wants to disappear into music or podcasts during commutes and travel,tech,mid
True Wireless Earbuds,Compact wireless earbuds with long battery life and clear audio — ideal for active people who listen to music while running jogging or working out and hate tangled cables,tech,budget
Mechanical Keyboard,Satisfying tactile mechanical keyboard loved by programmers writers and anyone who spends hours at a desk and appreciates the craft of typing,tech,mid
Smart Watch,Feature-rich smartwatch that tracks fitness sleep and notifications — for the person who loves optimizing their health and staying connected without checking their phone constantly,tech,mid
Portable Bluetooth Speaker,Rugged waterproof portable speaker for outdoor adventures camping picnics and travel — for someone who brings music everywhere they go,tech,budget
E-Reader,Lightweight e-reader with warm backlight and weeks of battery — perfect for avid readers who devour books on commutes travels and quiet evenings and want their whole library in one device,tech,mid
Phone Gimbal Stabilizer,Smartphone gimbal for smooth cinematic video — perfect for creative travelers and content creators who love documenting their life and adventures in beautiful quality,tech,mid
Graphic Drawing Tablet,Digital drawing tablet for illustrators and designers who want to sketch paint and create art digitally — bridges traditional artistic instincts with modern creative tools,tech,mid
Portable Projector,Mini projector for movie nights at home or outdoors — for someone who loves creating cozy cinematic experiences and entertaining friends in unique ways,tech,splurge
Smart LED Desk Lamp,Adjustable smart desk lamp with color temperature control — for the person who cares about their workspace aesthetics and eye comfort during long creative or work sessions,tech,budget
Watercolor Paint Set,Professional-grade watercolor set with rich pigments and a wide color range — for the artist who loves loose expressive painting and capturing emotion through color and water,art,mid
Sketchbook Collection,Set of high-quality sketchbooks with smooth and textured pages — for the person who fills notebooks with drawings observations and ideas and carries a sketchbook everywhere,art,budget
Calligraphy Starter Kit,Beautiful calligraphy kit with ink nibs and practice sheets — for someone drawn to the meditative art of hand lettering who appreciates slow deliberate beautiful marks on paper,art,budget
Oil Painting Set,Complete oil painting kit with professional pigments brushes and canvas — for the serious artist who loves rich layered work and the slow meditative process of oil painting,art,mid
Lino Print Making Kit,Hands-on printmaking kit for carving and printing original designs — for the creative person who loves tactile art-making processes and producing one-of-a-kind pieces,art,budget
Artist Colored Pencil Set,Premium 72-color professional colored pencil set for detailed illustration and portrait work — for the patient precise artist who loves rich layered color and fine detail,art,mid
Fountain Pen Set,Elegant fountain pen collection for writers and journal keepers who believe the instrument matters and love the ritual of writing with a beautiful pen that glides across the page,art,budget
Poetry Journal with Prompts,Beautifully designed journal with creative writing prompts for poets and reflective writers who process the world through language and love the blank page,art,budget
Pottery and Clay Sculpting Kit,Air-dry clay kit for home sculpting and pottery — for the hands-on creative person who loves making functional or decorative objects and finds deep satisfaction in working with their hands,art,mid
Acrylic Paint Pouring Kit,Fluid art kit for creating mesmerizing abstract poured paintings — for the experimental artist who loves color psychology unpredictable results and satisfying visual outcomes,art,budget
Classic Literary Fiction Collection,Curated set of award-winning literary fiction novels exploring identity love loss and the human condition — for the deep thinker who sees reading as a way to understand themselves and others,books,budget
Contemporary Fiction Bestsellers,Collection of celebrated contemporary fiction from diverse voices around the world — for the culturally curious reader who loves stories that challenge perspectives and expand empathy,books,budget
Science Fiction Epic Series,Multi-book science fiction series exploring far-future civilizations artificial intelligence and what it means to be human — for the imaginative reader who loves big ideas and world-building,books,budget
Cyberpunk Fiction Bundle,Gritty neon-lit cyberpunk novels set in near-future dystopias — for the reader fascinated by technology surveillance capitalism and rebellious outsider characters,books,budget
Space Opera Collection,Sweeping space opera novels with epic battles alien civilizations and complex political intrigue — for the reader who wants to be completely transported to another galaxy,books,budget
Classic Detective Novels Collection,Timeless detective fiction featuring brilliant investigators and intricate mysteries — for the analytical reader who loves following clues building suspense and the satisfaction of a solved case,books,budget
Nordic Noir Crime Fiction,Dark atmospheric Scandinavian crime thrillers with complex detectives and chilling social commentary — for the reader who likes their mysteries cold grey and psychologically intense,books,budget
Psychological Thriller Bundle,Page-turning psychological thrillers with unreliable narrators and shocking twists — for the reader who loves books that mess with your mind and keep you up at night,books,budget
Cozy Mystery Series,Charming cozy mystery series set in small towns with amateur sleuths warm communities and gentle suspense — for the reader who loves mysteries without the darkness,books,budget
Historical Detective Fiction,Mystery novels set in richly researched historical periods from Victorian London to 1920s Cairo — for the reader who loves solving crimes while being transported to another era,books,budget
Trail Running Shoes,Lightweight grippy trail running shoes designed for off-road terrain and technical paths — for the runner who leaves the pavement behind and finds freedom in forests and mountain trails,outdoor,mid
Hiking Trekking Poles,Adjustable carbon fiber trekking poles for stability on steep descents and long mountain hikes — for the serious hiker who spends weekends on challenging trails,outdoor,mid
Lightweight Hiking Backpack,35L ultralight hiking daypack with ergonomic support and smart organization — for the hiker who wants everything they need without carrying unnecessary weight on trail,outdoor,mid
Trail Running Hydration Vest,Low-profile running vest with water reservoir and storage — for the trail runner who goes long and needs hydration and nutrition without breaking stride,outdoor,mid
Camping Hammock,Ultralight packable hammock that sets up between two trees in minutes — for the outdoor person who seeks stillness in nature and loves reading or napping suspended between trees,outdoor,budget
Outdoor Yoga Mat,Thick durable non-slip yoga mat designed for outdoor use on grass sand and uneven surfaces — for the yogi who takes their practice outside and connects movement with nature,outdoor,budget
Headlamp for Hiking,Powerful rechargeable headlamp for trail running at dawn hiking after sunset and camping — for the adventurer whose outdoor life doesn't stop when the sun goes down,outdoor,budget
Trekking Gaiters,Waterproof gaiters that keep debris and water out of hiking boots on muddy and snowy trails — for the dedicated hiker who goes out in all conditions,outdoor,budget
Portable Water Filter,Compact personal water filter straw for safe drinking from natural water sources on long hikes and backcountry adventures — for the self-sufficient outdoor explorer,outdoor,budget
Windproof Outdoor Jacket,Packable windproof and water-resistant running and hiking jacket — for the active outdoor person who layers smart and wants protection from changing mountain weather,outdoor,mid
Gym Lifting Gloves,Durable padded gym gloves for weightlifting and strength training — for the dedicated gym person who trains hard and cares about grip protection and performance,fitness,budget
Resistance Band Set,Versatile set of resistance bands for home gym workouts mobility work and physical therapy — for the person who trains consistently whether at the gym or traveling,fitness,budget
Foam Roller,Dense foam roller for deep muscle recovery and myofascial release after intense training — for the athlete who knows that recovery is just as important as the workout,fitness,budget
Martial Arts Hand Wraps,Professional cotton hand wraps for boxing kickboxing and martial arts training — for the fighter or martial artist who trains with discipline and takes their craft seriously,fitness,budget
Jump Rope for Crossfit,Speed jump rope for high-intensity cardio and crossfit training — for the fitness-obsessed person who loves efficient intense workouts that test coordination and endurance,fitness,budget
Yoga Block and Strap Set,Cork yoga blocks and cotton straps for deepening flexibility and alignment in yoga practice — for the dedicated yogi working toward greater mobility and mindful movement,fitness,budget
Pull-up Bar,Doorframe pull-up bar for home strength training — for the disciplined fitness person who builds a consistent training habit wherever they are,fitness,budget
Martial Arts Training Gloves,High-quality sparring gloves for Muay Thai boxing or MMA training — for the martial artist who trains with passion and respects the craft and discipline of their sport,fitness,mid
Fitness Tracker Band,Slim fitness tracker that monitors steps heart rate sleep and calories — for the health-conscious person who loves data and using insights to optimize their daily wellbeing,fitness,budget
Protein Shaker Bottle Set,Set of premium leak-proof shaker bottles for pre and post workout nutrition — for the gym-dedicated person who is serious about their training and recovery routine,fitness,budget
Dombra,Traditional two-stringed Kazakh lute with a warm resonant sound — a deeply meaningful gift for someone connected to Kazakh heritage who loves folk music or plays traditional instruments,kazakh,splurge
Keseshka Set,Beautiful hand-painted Kazakh ceramic tea bowls used for sharing tea with family and honored guests — a symbol of warmth hospitality and Kazakh domestic tradition perfect for Nauryz or kyz uzatu,kazakh,mid
Kazakh Platok (Ornamented Shawl),Embroidered silk or wool Kazakh platok with traditional ornamental patterns — a meaningful gift for women celebrating kyz uzatu weddings or Nauryz honoring femininity and cultural identity,kazakh,mid
Nauryz Celebration Gift Basket,Curated basket with nauryz kozhe ingredients dried fruits traditional sweets and a handwritten Nauryz greeting — a warm and festive gift celebrating the Kazakh New Year and renewal,kazakh,mid
Hand-Embroidered Tus Kiiz,Small decorative Kazakh wall hanging with traditional geometric embroidery patterns — a piece of living cultural heritage that brings warmth and meaning to any home,kazakh,splurge
Kazakh National Ornament Jewelry Set,Silver jewelry set featuring traditional Kazakh tribal ornaments and patterns — a meaningful gift for women who take pride in their heritage and love wearable cultural art,kazakh,mid
Felt Kazakh Slippers (Kiiz Etik),Handmade felt slippers in traditional Kazakh style — a warm practical and culturally meaningful gift representing Central Asian craft and the comfort of home,kazakh,budget
Kazakh Cookbook,Beautifully photographed cookbook featuring traditional Kazakh and Central Asian recipes from beshbarmak to baursak — for someone who loves cooking and wants to preserve and celebrate their culinary heritage,kazakh,budget
Traditional Kazakh Chess Set,Decorative chess set with pieces inspired by Kazakh figures and motifs — for the strategic thinker who appreciates games and cultural craftsmanship,kazakh,mid
Kyz Uzatu Memory Book,Elegant handcrafted keepsake album designed for the kyz uzatu ceremony — a treasured gift for a bride to document the farewell celebration with family messages photos and memories,kazakh,mid
